Name,Value,Year,Type,Gender
Celina,1505.0,2021,Rank,Girl
Celine,423.0,2021,Rank,Girl
Cerys,755.0,2021,Rank,Girl
Chana,1569.0,2021,Rank,Girl
Chanel,1785.0,2021,Rank,Girl
Chanelle,5581.0,2021,Rank,Girl
Chantelle,1866.0,2021,Rank,Girl
Charis,2341.0,2021,Rank,Girl
Charlee,2942.0,2021,Rank,Girl
Charleigh,3961.0,2021,Rank,Girl
Charlene,3961.0,2021,Rank,Girl
Charley,1161.0,2021,Rank,Girl
Charli,3961.0,2021,Rank,Girl
Charlie,755.0,2021,Rank,Girl
Charlotte,25.0,2021,Rank,Girl
Charmaine,3519.0,2021,Rank,Girl
Chaya,884.0,2021,Rank,Girl
Chelsea,779.0,2021,Rank,Girl
Cherry,1286.0,2021,Rank,Girl
Cheyenne,4634.0,2021,Rank,Girl
Chiara,654.0,2021,Rank,Girl
Chioma,5581.0,2021,Rank,Girl
Chloe,52.0,2021,Rank,Girl
Christabel,1962.0,2021,Rank,Girl
Christiana,1692.0,2021,Rank,Girl
Christina,734.0,2021,Rank,Girl
Christine,1311.0,2021,Rank,Girl
Ciara,521.0,2021,Rank,Girl
Cicely,2499.0,2021,Rank,Girl
Cindy,2201.0,2021,Rank,Girl
Claire,983.0,2021,Rank,Girl
Clara,94.0,2021,Rank,Girl
Clare,2499.0,2021,Rank,Girl
Clarice,4634.0,2021,Rank,Girl
Clarissa,1785.0,2021,Rank,Girl
Claudia,521.0,2021,Rank,Girl
Clementine,175.0,2021,Rank,Girl
Cleo,138.0,2021,Rank,Girl
Clio,2711.0,2021,Rank,Girl
Clodagh,1195.0,2021,Rank,Girl
Coco,567.0,2021,Rank,Girl
Colette,1505.0,2021,Rank,Girl
Connie,154.0,2021,Rank,Girl
Constance,371.0,2021,Rank,Girl
Cora,149.0,2021,Rank,Girl
Coral,1402.0,2021,Rank,Girl
Coralie,1692.0,2021,Rank,Girl
Cordelia,957.0,2021,Rank,Girl
Corinne,3192.0,2021,Rank,Girl
Cosima,1628.0,2021,Rank,Girl
Courtney,1454.0,2021,Rank,Girl
Cressida,2073.0,2021,Rank,Girl
Cristina,1692.0,2021,Rank,Girl
Crystal,747.0,2021,Rank,Girl
Cydney,3961.0,2021,Rank,Girl
Cynthia,2499.0,2021,Rank,Girl
Daisie,1007.0,2021,Rank,Girl
Daisy,15.0,2021,Rank,Girl
Daisy-Mae,640.0,2021,Rank,Girl
Daisy-May,840.0,2021,Rank,Girl
Dakota,466.0,2021,Rank,Girl
Dalia,812.0,2021,Rank,Girl
Dana,957.0,2021,Rank,Girl
Danae,3961.0,2021,Rank,Girl
Dani,2201.0,2021,Rank,Girl
Dania,860.0,2021,Rank,Girl
Danica,2499.0,2021,Rank,Girl
Daniela,860.0,2021,Rank,Girl
Daniella,549.0,2021,Rank,Girl
Danielle,1161.0,2021,Rank,Girl
Danika,5581.0,2021,Rank,Girl
Danni,2942.0,2021,Rank,Girl
Danya,5581.0,2021,Rank,Girl
Daphne,234.0,2021,Rank,Girl
Dara,1866.0,2021,Rank,Girl
Darcey,147.0,2021,Rank,Girl
Darci,1505.0,2021,Rank,Girl
Darcie,81.0,2021,Rank,Girl
Darcy,146.0,2021,Rank,Girl
Daria,355.0,2021,Rank,Girl
Davina,2073.0,2021,Rank,Girl
Dawn,3961.0,2021,Rank,Girl
Dayna,4634.0,2021,Rank,Girl
Deanna,3192.0,2021,Rank,Girl
Debbie,4634.0,2021,Rank,Girl
Deborah,801.0,2021,Rank,Girl
Deena,2073.0,2021,Rank,Girl
Delilah,50.0,2021,Rank,Girl
Della,1505.0,2021,Rank,Girl
Delphine,1224.0,2021,Rank,Girl
Demi,469.0,2021,Rank,Girl
Demi-Lee,5581.0,2021,Rank,Girl
Demi-Leigh,1785.0,2021,Rank,Girl
Denise,5581.0,2021,Rank,Girl
Desiree,2341.0,2021,Rank,Girl
Destiny,537.0,2021,Rank,Girl
Devon,1102.0,2021,Rank,Girl
Devorah,3192.0,2021,Rank,Girl
Diana,264.0,2021,Rank,Girl
Diane,2499.0,2021,Rank,Girl
Dilara,1351.0,2021,Rank,Girl
Dina,918.0,2021,Rank,Girl
Divine,2341.0,2021,Rank,Girl
Diya,720.0,2021,Rank,Girl
Dolly,318.0,2021,Rank,Girl
Dominique,2942.0,2021,Rank,Girl
Donna,4634.0,2021,Rank,Girl
Dora,1128.0,2021,Rank,Girl
Dorothy,177.0,2021,Rank,Girl
Drew,1505.0,2021,Rank,Girl
Dulcie,594.0,2021,Rank,Girl
Ebonie,2942.0,2021,Rank,Girl
Ebony,536.0,2021,Rank,Girl
Eda,1402.0,2021,Rank,Girl
Eden,91.0,2021,Rank,Girl
Edie,115.0,2021,Rank,Girl
Edith,83.0,2021,Rank,Girl
Effie,201.0,2021,Rank,Girl
Eileen,1069.0,2021,Rank,Girl
Eilidh,1195.0,2021,Rank,Girl
Eimear,2341.0,2021,Rank,Girl
Ela,594.0,2021,Rank,Girl
Elaina,1007.0,2021,Rank,Girl
Elaine,1454.0,2021,Rank,Girl
Elan,3192.0,2021,Rank,Girl
Elana,1454.0,2021,Rank,Girl
Eleana,5581.0,2021,Rank,Girl
Eleanor,55.0,2021,Rank,Girl
Elen,2073.0,2021,Rank,Girl
Elena,152.0,2021,Rank,Girl
Eleni,767.0,2021,Rank,Girl
Eleri,720.0,2021,Rank,Girl
Eliana,189.0,2021,Rank,Girl
Elicia,5581.0,2021,Rank,Girl
Elif,812.0,2021,Rank,Girl
Elin,720.0,2021,Rank,Girl
Elina,747.0,2021,Rank,Girl
Elinor,1128.0,2021,Rank,Girl
Elisa,407.0,2021,Rank,Girl
Elisabeth,983.0,2021,Rank,Girl
Elise,299.0,2021,Rank,Girl
Elisha,1569.0,2021,Rank,Girl
Elisia,2711.0,2021,Rank,Girl
Elissa,779.0,2021,Rank,Girl
Eliz,1785.0,2021,Rank,Girl
Eliza,43.0,2021,Rank,Girl
Elizabeth,60.0,2021,Rank,Girl
Ella,20.0,2021,Rank,Girl
Ella-Louise,1351.0,2021,Rank,Girl
Ella-Mae,688.0,2021,Rank,Girl
Ella-Rose,301.0,2021,Rank,Girl
Elle,478.0,2021,Rank,Girl
Ellen,683.0,2021,Rank,Girl
Ellena,2073.0,2021,Rank,Girl
Elli,5581.0,2021,Rank,Girl
Ellie,78.0,2021,Rank,Girl
Ellie-Mae,529.0,2021,Rank,Girl
Ellie-Mai,1962.0,2021,Rank,Girl
Ellie-May,1454.0,2021,Rank,Girl
Ellie-Rose,1692.0,2021,Rank,Girl
Ellis,1007.0,2021,Rank,Girl
Ellora,2073.0,2021,Rank,Girl
Ellouise,4634.0,2021,Rank,Girl
Elly,2201.0,2021,Rank,Girl
Elodie,93.0,2021,Rank,Girl
Eloisa,2341.0,2021,Rank,Girl
Eloise,106.0,2021,Rank,Girl
Elouise,983.0,2021,Rank,Girl
Elsa,567.0,2021,Rank,Girl
Elsbeth,3192.0,2021,Rank,Girl
Elsie,18.0,2021,Rank,Girl
Elspeth,936.0,2021,Rank,Girl
Elyse,1454.0,2021,Rank,Girl
Elysia,860.0,2021,Rank,Girl
Eman,1785.0,2021,Rank,Girl
Emelia,333.0,2021,Rank,Girl
Emerald,1569.0,2021,Rank,Girl
Emilee,2942.0,2021,Rank,Girl
Emilia,32.0,2021,Rank,Girl
Emilie,459.0,2021,Rank,Girl
Emilly,2711.0,2021,Rank,Girl
Emily,19.0,2021,Rank,Girl
Emily-Jane,5581.0,2021,Rank,Girl
Emily-Rose,1259.0,2021,Rank,Girl
Emine,3961.0,2021,Rank,Girl
Emma,61.0,2021,Rank,Girl
Emmanuella,1505.0,2021,Rank,Girl
Emmeline,318.0,2021,Rank,Girl
Emmi,1866.0,2021,Rank,Girl
Emmie,217.0,2021,Rank,Girl
Emmy,459.0,2021,Rank,Girl
Enya,640.0,2021,Rank,Girl
Erica,398.0,2021,Rank,Girl
Erika,567.0,2021,Rank,Girl
Erin,59.0,2021,Rank,Girl
Eryn,884.0,2021,Rank,Girl
Esha,1569.0,2021,Rank,Girl
Esme,46.0,2021,Rank,Girl
Esmee,506.0,2021,Rank,Girl
Esra,1039.0,2021,Rank,Girl
Estella,1692.0,2021,Rank,Girl
Estelle,983.0,2021,Rank,Girl
Esther,166.0,2021,Rank,Girl
Eunice,3192.0,2021,Rank,Girl
Eva,41.0,2021,Rank,Girl
Evangeline,402.0,2021,Rank,Girl
Eve,181.0,2021,Rank,Girl
Evelina,506.0,2021,Rank,Girl
Evelyn,21.0,2021,Rank,Girl
Evie,24.0,2021,Rank,Girl
Faatimah,2341.0,2021,Rank,Girl
Fabiha,2711.0,2021,Rank,Girl
Fae,2499.0,2021,Rank,Girl
Fahima,5581.0,2021,Rank,Girl
Faith,175.0,2021,Rank,Girl
Faiza,1311.0,2021,Rank,Girl
Faizah,4634.0,2021,Rank,Girl
Falak,1785.0,2021,Rank,Girl
Fallon,918.0,2021,Rank,Girl
Farah,779.0,2021,Rank,Girl
Farida,2073.0,2021,Rank,Girl
Fariha,2341.0,2021,Rank,Girl
Farrah,1311.0,2021,Rank,Girl
Fatema,3961.0,2021,Rank,Girl
Fathima,2499.0,2021,Rank,Girl
Fatima,130.0,2021,Rank,Girl
Fatimah,324.0,2021,Rank,Girl
Fatma,2073.0,2021,Rank,Girl
Fay,2341.0,2021,Rank,Girl
Faye,289.0,2021,Rank,Girl
Felicia,1962.0,2021,Rank,Girl
Felicity,123.0,2021,Rank,Girl
Fenella,2499.0,2021,Rank,Girl
Fern,339.0,2021,Rank,Girl
Ffion,377.0,2021,Rank,Girl
Fiona,1692.0,2021,Rank,Girl
Flavia,2711.0,2021,Rank,Girl
Fleur,412.0,2021,Rank,Girl
Flora,220.0,2021,Rank,Girl
Florence,8.0,2021,Rank,Girl
Frances,438.0,2021,Rank,Girl
Francesca,110.0,2021,Rank,Girl
Frankie,111.0,2021,Rank,Girl
Freja,901.0,2021,Rank,Girl
Freya,6.0,2021,Rank,Girl
Freyja,313.0,2021,Rank,Girl
Gabriela,360.0,2021,Rank,Girl
Gabriele,1962.0,2021,Rank,Girl
Gabriella,142.0,2021,Rank,Girl
Gabrielle,588.0,2021,Rank,Girl
Gaia,634.0,2021,Rank,Girl
Gemma,1962.0,2021,Rank,Girl
